start,end,goog_dolar
01/04/04,01/10/04,17
01/11/04,01/17/04,17
01/18/04,01/24/04,16
01/25/04,01/31/04,11
02/01/04,02/07/04,13
02/08/04,02/14/04,14
02/15/04,02/21/04,13
02/22/04,02/28/04,13
02/29/04,03/06/04,11
03/07/04,03/13/04,7
03/14/04,03/20/04,7
03/21/04,03/27/04,7
03/28/04,04/03/04,11
04/04/04,04/10/04,11
04/11/04,04/17/04,11
04/18/04,04/24/04,15
04/25/04,05/01/04,15
05/02/04,05/08/04,13
05/09/04,05/15/04,18
05/16/04,05/22/04,14
05/23/04,05/29/04,16
05/30/04,06/05/04,12
06/06/04,06/12/04,12
06/13/04,06/19/04,10
06/20/04,06/26/04,9
06/27/04,07/03/04,9
07/04/04,07/10/04,9
07/11/04,07/17/04,15
07/18/04,07/24/04,8
07/25/04,07/31/04,11
08/01/04,08/07/04,14
08/08/04,08/14/04,13
08/15/04,08/21/04,12
08/22/04,08/28/04,9
08/29/04,09/04/04,10
09/05/04,09/11/04,6
09/12/04,09/18/04,10
09/19/04,09/25/04,6
09/26/04,10/02/04,7
10/03/04,10/09/04,10
10/10/04,10/16/04,8
10/17/04,10/23/04,10
10/24/04,10/30/04,10
10/31/04,11/06/04,10
11/07/04,11/13/04,8
11/14/04,11/20/04,9
11/21/04,11/27/04,9
11/28/04,12/04/04,11
12/05/04,12/11/04,10
12/12/04,12/18/04,10
12/19/04,12/25/04,11
12/26/04,01/01/05,14
01/02/05,01/08/05,13
01/09/05,01/15/05,12
01/16/05,01/22/05,15
01/23/05,01/29/05,10
01/30/05,02/05/05,15
02/06/05,02/12/05,14
02/13/05,02/19/05,12
02/20/05,02/26/05,10
02/27/05,03/05/05,15
03/06/05,03/12/05,13
03/13/05,03/19/05,11
03/20/05,03/26/05,11
03/27/05,04/02/05,9
04/03/05,04/09/05,11
04/10/05,04/16/05,9
04/17/05,04/23/05,11
04/24/05,04/30/05,8
05/01/05,05/07/05,8
05/08/05,05/14/05,9
05/15/05,05/21/05,9
05/22/05,05/28/05,9
05/29/05,06/04/05,10
06/05/05,06/11/05,9
06/12/05,06/18/05,11
06/19/05,06/25/05,12
06/26/05,07/02/05,8
07/03/05,07/09/05,11
07/10/05,07/16/05,11
07/17/05,07/23/05,13
07/24/05,07/30/05,11
07/31/05,08/06/05,11
08/07/05,08/13/05,12
08/14/05,08/20/05,13
08/21/05,08/27/05,13
08/28/05,09/03/05,13
09/04/05,09/10/05,11
09/11/05,09/17/05,11
09/18/05,09/24/05,12
09/25/05,10/01/05,9
10/02/05,10/08/05,12
10/09/05,10/15/05,17
10/16/05,10/22/05,15
10/23/05,10/29/05,18
10/30/05,11/05/05,12
11/06/05,11/12/05,14
11/13/05,11/19/05,13
11/20/05,11/26/05,13
11/27/05,12/03/05,20
12/04/05,12/10/05,14
12/11/05,12/17/05,20
12/18/05,12/24/05,18
12/25/05,12/31/05,18
01/01/06,01/07/06,17
01/08/06,01/14/06,18
01/15/06,01/21/06,19
01/22/06,01/28/06,15
01/29/06,02/04/06,12
02/05/06,02/11/06,13
02/12/06,02/18/06,12
02/19/06,02/25/06,11
02/26/06,03/04/06,15
03/05/06,03/11/06,12
03/12/06,03/18/06,11
03/19/06,03/25/06,12
03/26/06,04/01/06,11
04/02/06,04/08/06,12
04/09/06,04/15/06,9
04/16/06,04/22/06,11
04/23/06,04/29/06,14
04/30/06,05/06/06,11
05/07/06,05/13/06,12
05/14/06,05/20/06,12
05/21/06,05/27/06,14
05/28/06,06/03/06,14
06/04/06,06/10/06,13
06/11/06,06/17/06,10
06/18/06,06/24/06,11
06/25/06,07/01/06,13
07/02/06,07/08/06,13
07/09/06,07/15/06,10
07/16/06,07/22/06,9
07/23/06,07/29/06,9
07/30/06,08/05/06,10
08/06/06,08/12/06,9
08/13/06,08/19/06,10
08/20/06,08/26/06,9
08/27/06,09/02/06,11
09/03/06,09/09/06,13
09/10/06,09/16/06,11
09/17/06,09/23/06,11
09/24/06,09/30/06,11
10/01/06,10/07/06,12
10/08/06,10/14/06,10
10/15/06,10/21/06,10
10/22/06,10/28/06,11
10/29/06,11/04/06,11
11/05/06,11/11/06,12
11/12/06,11/18/06,12
11/19/06,11/25/06,11
11/26/06,12/02/06,10
12/03/06,12/09/06,13
12/10/06,12/16/06,14
12/17/06,12/23/06,13
12/24/06,12/30/06,13
12/31/06,01/06/07,13
01/07/07,01/13/07,16
01/14/07,01/20/07,12
01/21/07,01/27/07,13
01/28/07,02/03/07,13
02/04/07,02/10/07,14
02/11/07,02/17/07,12
02/18/07,02/24/07,11
02/25/07,03/03/07,11
03/04/07,03/10/07,11
03/11/07,03/17/07,10
03/18/07,03/24/07,9
03/25/07,03/31/07,10
04/01/07,04/07/07,8
