date,tipo,venta,compra
1/3/2011,Casas de cambio,4.0000,
1/3/2011,Informal,4.1100,
1/4/2011,Casas de cambio,4.0000,
1/4/2011,Informal,4.1200,
1/5/2011,Casas de cambio,4.0000,
1/5/2011,Informal,4.1380,
1/6/2011,Casas de cambio,4.0000,
1/6/2011,Informal,4.1380,
1/7/2011,Casas de cambio,4.0000,
1/7/2011,Informal,4.1200,
1/10/2011,Casas de cambio,4.0000,
1/10/2011,Informal,4.1130,
1/11/2011,Casas de cambio,4.0000,
1/11/2011,Informal,4.1300,
1/12/2011,Casas de cambio,4.0000,
1/12/2011,Informal,4.1300,
1/13/2011,Casas de cambio,4.0000,
1/13/2011,Informal,4.1350,
1/14/2011,Casas de cambio,4.0000,
1/14/2011,Informal,4.1350,
1/17/2011,Casas de cambio,4.0000,
1/17/2011,Informal,4.1300,
1/18/2011,Casas de cambio,4.0000,
1/18/2011,Informal,4.1450,
1/19/2011,Casas de cambio,4.0000,
1/19/2011,Informal,4.1480,
1/20/2011,Casas de cambio,4.0050,
1/20/2011,Informal,4.1500,
1/21/2011,Casas de cambio,4.0050,
1/21/2011,Informal,4.1450,
1/24/2011,Casas de cambio,4.0100,
1/24/2011,Informal,4.1430,
1/25/2011,Casas de cambio,4.0100,
1/25/2011,Informal,4.1430,
1/26/2011,Casas de cambio,4.0100,
1/26/2011,Informal,4.1480,
1/27/2011,Casas de cambio,4.0150,
1/27/2011,Informal,4.1500,
1/28/2011,Casas de cambio,4.0200,
1/28/2011,Informal,4.1500,
1/31/2011,Casas de cambio,4.0200,
1/31/2011,Informal,4.1350,
2/1/2011,Casas de cambio,4.0300,
2/1/2011,Informal,4.1330,
2/2/2011,Casas de cambio,4.0350,
2/2/2011,Informal,4.1180,
2/3/2011,Casas de cambio,4.0350,
2/3/2011,Informal,4.1150,
2/4/2011,Casas de cambio,4.0400,
2/4/2011,Informal,4.1180,
2/7/2011,Casas de cambio,4.0400,
2/7/2011,Informal,4.1180,
2/8/2011,Casas de cambio,4.0400,
2/8/2011,Informal,4.1350,
2/9/2011,Casas de cambio,4.0400,
2/9/2011,Informal,4.1350,
2/10/2011,Casas de cambio,4.0400,
2/10/2011,Informal,4.1380,
2/11/2011,Casas de cambio,4.0400,
2/11/2011,Informal,4.1450,
2/14/2011,Casas de cambio,4.0400,
2/14/2011,Informal,4.1430,
2/15/2011,Casas de cambio,4.0500,
2/15/2011,Informal,4.1580,
2/16/2011,Casas de cambio,4.0500,
2/16/2011,Informal,4.1680,
2/17/2011,Casas de cambio,4.0500,
2/17/2011,Informal,4.1780,
2/18/2011,Casas de cambio,4.0500,
2/18/2011,Informal,4.1780,
2/21/2011,Casas de cambio,4.0500,
2/21/2011,Informal,4.1630,
2/22/2011,Casas de cambio,4.0500,
2/22/2011,Informal,4.1630,
2/23/2011,Casas de cambio,4.0500,
2/23/2011,Informal,4.1650,
2/24/2011,Casas de cambio,4.0550,
2/24/2011,Informal,4.1730,
2/25/2011,Casas de cambio,4.0550,
2/25/2011,Informal,4.1650,
2/28/2011,Casas de cambio,4.0550,
2/28/2011,Informal,4.1530,
3/1/2011,Casas de cambio,4.0550,
3/1/2011,Informal,4.1530,
3/2/2011,Casas de cambio,4.0550,
3/2/2011,Informal,4.1480,
3/3/2011,Casas de cambio,4.0600,
3/3/2011,Informal,4.1430,
3/4/2011,Casas de cambio,4.0600,
3/4/2011,Informal,4.1330,
3/9/2011,Casas de cambio,4.0600,
3/9/2011,Informal,4.1150,
3/10/2011,Casas de cambio,4.0600,
3/10/2011,Informal,4.1130,
3/11/2011,Casas de cambio,4.0600,
3/11/2011,Informal,4.1430,
3/14/2011,Casas de cambio,4.0600,
3/14/2011,Informal,4.1400,
3/15/2011,Casas de cambio,4.0600,
3/15/2011,Informal,4.1630,
3/16/2011,Casas de cambio,4.0650,
3/16/2011,Informal,4.1650,
3/17/2011,Casas de cambio,4.0650,
